iter	RMSE
0	6987003.469
1	6753006.936
2	6530450.609
3	6335019.895
4	6131541.718
5	5967500.058
6	5784440.803
7	5617114.729
8	5454875.068
9	5308794.009
10	5156169.7
11	5000944.125
12	4872349.992
13	4766660.685
14	4641563.289
15	4519556.715
16	4405461.672
17	4307703.69
18	4199828.925
19	4102085.391
20	4011738.465
21	3932136.923
22	3840600.562
23	3758867.271
24	3683782.451
25	3612817.787
26	3539954.21
27	3474829.523
28	3413600.116
29	3351076.121
30	3306124.518
31	3248929.148
32	3196463.638
33	3146782.162
34	3110369.69
35	3056984.215
36	3009130.45
37	2962958.406
38	2917539.164
39	2889661.197
40	2855205.491
41	2819321.681
42	2778826.056
43	2760806.365
44	2725586.12
45	2692201.145
46	2660563.241
47	2631340.239
48	2604512.339
49	2584085.844
50	2562160.32
51	2533156.621
52	2501366.551
53	2478317.329
54	2456223.62
55	2433496.366
56	2420263.153
57	2393815.161
58	2376732.307
59	2349712.088
60	2339311.449
61	2324227.997
62	2310232.803
63	2294055.067
64	2272749.702
65	2256226.694
66	2234992.546
67	2226502.694
68	2207483.841
69	2188930.705
70	2176484.794
71	2158956.839
72	2146989.978
73	2140160.257
74	2126953.589
75	2117263.024
76	2100671.16
77	2088330.423
78	2075899.918
79	2069874.987
80	2062157.639
81	2050363.69
82	2038833.72
83	2022545.715
84	2012103.124
85	2005402.924
86	1997149.289
87	1991197.595
88	1982831.177
89	1973209.998
90	1962941.626
91	1957294.476
92	1949814.453
93	1942520.21
94	1936462.671
95	1928798.31
96	1923142.166
97	1908663.811
98	1902638.08
99	1896289.595
100	1891929.806
101	1887329.816
102	1878161.246
103	1873364.758
104	1866599.339
105	1859967.409
106	1854068.128
107	1846820.787
108	1841752.149
109	1835055.146
110	1826025.487
111	1818067.839
112	1815799.032
113	1812884.231
114	1809614.766
115	1807770.819
116	1802023.684
117	1794278.823
118	1787190.981
119	1784547.151
120	1782142.634
121	1777057.432
122	1768655.103
123	1766446.283
124	1759822.707
125	1755603.385
126	1750835.938
127	1748081.661
128	1744421.115
129	1742728.126
130	1736405.017
131	1733887.963
132	1730828.718
133	1728764.615
134	1723944.014
135	1719235.055
136	1713640.02
137	1709320.592
138	1707422.185
139	1705027.922
140	1703525.838
141	1701728.642
142	1696289.619
143	1694489.562
144	1691709.498
145	1684304.376
146	1681345.746
147	1679704.611
148	1674315.391
149	1672858.249
150	1671649.586
151	1666400.935
152	1664788.916
153	1662675.755
154	1661003.848
155	1655810.153
156	1654335.868
157	1652892.802
158	1647375.149
159	1644028.671
160	1642767.745
161	1641526.993
162	1640046.47
163	1638734.285
164	1636944.003
165	1631841.537
166	1630660.387
167	1628534.318
168	1627184.931
169	1625945.199
170	1623517.362
171	1621964.218
172	1620443.633
173	1614263.376
174	1613003.512
175	1611953.869
176	1610921.104
177	1609905.062
178	1608723.364
179	1607739.703
180	1606697.388
181	1600043.947
182	1598914.573
