iter	Passed	Remaining
0	4	2071
1	6	1730
2	9	1547
3	11	1416
4	13	1323
5	14	1225
6	16	1160
7	17	1097
8	19	1049
9	20	1011
10	22	978
11	23	955
12	25	944
13	26	937
14	28	921
15	29	904
16	31	889
17	32	878
18	34	865
19	35	855
20	37	847
21	38	838
22	40	832
23	41	827
24	43	824
25	44	819
26	46	817
27	49	838
28	51	830
29	52	822
30	53	814
31	55	807
32	56	800
33	57	793
34	59	789
35	60	784
36	62	782
37	64	780
38	65	776
39	67	773
40	68	770
41	70	766
42	71	763
43	73	759
44	74	754
45	76	752
46	77	749
47	79	745
48	80	744
49	82	745
50	84	743
51	85	740
52	87	736
53	88	732
54	90	729
55	91	726
56	93	723
57	94	720
58	95	717
59	97	713
60	98	709
61	100	707
62	102	713
63	104	711
64	106	709
65	107	707
66	108	703
67	110	700
68	111	697
69	112	693
70	114	690
71	115	688
72	117	685
73	118	682
74	120	681
75	121	679
76	123	677
77	124	674
78	126	671
79	127	668
80	128	665
81	130	662
82	131	659
83	132	657
84	134	654
85	135	651
86	137	654
87	139	653
88	141	651
89	142	648
90	143	646
91	145	644
92	146	641
93	147	638
94	149	636
95	150	634
96	152	632
97	153	629
98	154	627
99	158	632
100	159	630
101	160	628
102	162	625
103	163	623
104	165	621
105	166	618
106	167	616
107	169	614
108	170	611
109	171	609
110	173	607
111	174	606
112	176	604
113	178	602
114	179	600
115	180	598
116	182	596
117	183	593
118	184	591
119	186	589
120	187	588
121	189	586
122	190	584
123	192	582
124	193	580
125	195	579
126	196	577
127	198	576
128	200	575
129	201	573
130	202	571
131	204	569
132	205	567
133	206	565
134	208	563
135	209	561
136	211	559
137	212	557
138	214	556
139	215	554
140	216	552
141	218	550
142	219	548
143	220	546
144	222	544
145	223	542
146	224	540
147	226	538
148	227	536
149	228	534
150	230	532
151	231	531
152	233	529
153	235	528
154	236	526
155	237	524
156	238	522
157	240	520
158	241	518
159	242	516
160	244	514
161	245	512
162	247	510
163	248	509
164	250	508
165	251	507
166	253	505
167	254	503
168	256	501
169	257	499
170	258	497
171	260	495
172	261	494
173	262	492
174	264	490
175	265	488
176	266	486
177	275	497
178	276	496
179	278	494
180	279	492
181	280	490
182	282	488
183	283	486
184	284	484
185	286	482
186	287	481
187	289	480
188	291	479
189	292	477
190	294	475
191	295	474
192	296	472
193	298	470
194	299	468
195	300	466
196	302	464
197	303	463
198	304	461
199	306	459
200	307	458
201	309	456
202	311	455
203	312	453
204	314	452
205	315	450
206	316	448
207	318	446
208	319	445
209	321	443
210	322	441
211	326	443
212	327	441
213	329	440
214	330	438
215	332	436
216	333	434
217	334	433
218	336	431
219	337	429
220	338	427
221	340	426
222	341	424
223	343	422
224	344	421
225	346	419
226	347	418
227	349	417
228	351	415
229	352	413
230	353	412
231	355	410
232	356	408
233	358	407
234	359	405
235	361	403
236	362	402
237	364	401
238	366	400
239	367	398
240	369	396
241	370	395
242	372	393
243	373	392
244	375	390
245	376	388
246	377	387
247	379	385
248	380	383
249	382	382
250	384	381
251	386	380
252	387	378
253	389	377
254	391	375
255	392	374
256	393	372
257	395	370
258	396	369
259	398	367
260	399	366
261	401	364
262	403	363
263	404	361
264	405	360
265	407	358
266	408	356
267	410	355
268	411	353
269	412	351
270	414	350
271	415	348
272	417	346
273	418	345
274	420	343
275	421	342
276	423	340
277	424	339
278	425	337
279	427	335
280	428	334
281	430	332
282	431	330
283	432	329
284	434	327
285	435	325
286	437	324
287	438	323
288	440	321
289	441	320
290	443	318
291	444	316
292	446	315
293	447	313
294	448	311
295	450	310
296	451	308
297	453	307
298	454	305
299	456	304
300	458	302
301	460	301
302	461	300
303	463	298
304	464	297
305	466	295
306	467	293
307	468	292
308	470	290
309	471	289
310	473	287
311	475	286
312	477	285
313	479	283
314	480	282
315	482	280
316	484	279
317	485	277
318	486	276
319	488	274
320	489	273
321	491	271
322	492	269
323	496	269
324	497	268
325	499	266
326	500	264
327	502	263
328	503	261
329	505	260
330	506	258
331	508	257
332	509	255
333	511	254
334	512	252
335	514	251
336	516	249
337	517	248
338	519	246
339	520	245
340	522	243
341	523	241
342	525	240
343	526	238
344	528	237
345	529	235
346	531	234
347	534	233
348	535	231
349	537	230
350	539	228
351	540	227
352	542	225
353	543	224
354	545	222
355	547	221
356	549	219
357	551	218
358	553	217
359	554	215
360	556	214
361	558	212
362	559	211
363	561	209
364	562	208
365	564	206
366	565	204
367	569	204
368	571	202
369	573	201
370	574	199
371	576	198
372	577	196
373	579	195
374	581	193
375	582	192
376	583	190
377	585	188
378	587	187
379	589	186
380	590	184
381	592	182
382	593	181
383	594	179
384	596	178
385	597	176
386	598	174
387	600	173
388	601	171
389	603	170
390	604	168
391	606	167
392	608	165
393	609	164
394	611	162
395	612	160
396	613	159
397	615	157
398	616	156
399	617	154
400	619	152
401	620	151
402	622	149
403	623	148
404	625	146
405	627	145
406	628	143
407	630	142
408	631	140
409	633	138
410	634	137
411	635	135
412	637	134
413	638	132
414	639	131
415	641	129
416	642	127
417	644	126
418	646	125
419	648	123
420	649	121
421	651	120
422	652	118
423	654	117
424	655	115
425	657	114
426	658	112
427	659	111
428	661	109
429	662	107
430	664	106
431	666	104
432	668	103
433	670	101
434	671	100
435	672	98
436	674	97
437	675	95
438	676	94
439	678	92
440	679	90
441	681	89
442	683	87
443	684	86
444	686	84
445	687	83
446	689	81
447	690	80
448	691	78
449	693	77
450	695	75
451	696	73
452	697	72
453	699	70
454	701	69
455	702	67
456	703	66
457	705	64
458	706	63
459	708	61
460	709	60
461	710	58
462	712	56
463	713	55
464	714	53
465	716	52
466	717	50
467	719	49
468	721	47
469	722	46
470	723	44
471	725	43
472	726	41
473	728	39
474	729	38
475	730	36
476	732	35
477	733	33
478	734	32
479	736	30
480	738	29
481	739	27
482	741	26
483	742	24
484	743	23
485	745	21
486	746	19
487	747	18
488	749	16
489	750	15
490	751	13
491	753	12
492	754	10
493	757	9
494	758	7
495	760	6
496	761	4
497	763	3
498	764	1
499	766	0
